Date,Month,Year,Medicine_Name,ATC_Code,Stock_Available,Stock_Sold,Stockout_Flag,External_Factor,Price_per_Unit,Supplier_ID,Reorder_Level,Days_to_Stockout
2022-Jan-01,January,2022,Diclofenac,M01AB,100,28,0,Low,13.89,SUP002,33,2
2022-Jan-01,January,2022,Ketoprofen,M01AB,315,45,0,Low,6.38,SUP005,81,6
2022-Jan-01,January,2022,Naproxen,M01AB,179,42,0,High,9.6,SUP004,100,3
2022-Jan-01,January,2022,Ibuprofen,M01AE,305,13,0,High,5.87,SUP002,63,22
2022-Jan-01,January,2022,Dexibuprofen,M01AE,361,10,0,Low,14.64,SUP008,25,35
2022-Jan-01,January,2022,Aspirin,N02BA,402,47,0,High,10.04,SUP001,57,7
2022-Jan-01,January,2022,Diflunisal,N02BA,137,31,0,High,4.32,SUP004,57,3
2022-Jan-01,January,2022,Paracetamol,N02BE,457,48,0,Medium,17.19,SUP008,69,8
2022-Jan-01,January,2022,Phenacetin,N02BE,252,7,0,High,14.39,SUP005,65,35
2022-Jan-01,January,2022,Diazepam,N05B,389,15,0,High,11.68,SUP003,23,24
2022-Jan-01,January,2022,Alprazolam,N05B,85,7,0,High,9.84,SUP009,21,11
2022-Jan-01,January,2022,Zolpidem,N05C,292,12,0,High,5.49,SUP009,57,23
2022-Jan-01,January,2022,Eszopiclone,N05C,147,43,0,High,11.03,SUP004,44,2
2022-Jan-01,January,2022,Salbutamol,R03,176,46,0,High,8.28,SUP003,52,2
2022-Jan-01,January,2022,Formoterol,R03,172,26,0,Low,11.86,SUP007,23,5
2022-Jan-01,January,2022,Budesonide,R03,216,22,0,Medium,10.26,SUP008,82,8
2022-Jan-01,January,2022,Loratadine,R06,441,12,0,Medium,18.28,SUP002,51,35
2022-Jan-01,January,2022,Cetirizine,R06,356,49,0,High,9.98,SUP010,64,6
2022-Jan-01,January,2022,Diphenhydramine,R06,362,42,0,Medium,16.81,SUP009,69,7
2022-Jan-01,January,2022,Amoxicillin,J01C,258,44,0,High,19.31,SUP001,65,4
2022-Jan-01,January,2022,Penicillin,J01C,471,37,0,High,19.84,SUP001,64,11
2022-Jan-01,January,2022,Cefalexin,J01C,453,16,0,High,6.22,SUP005,70,27
2022-Jan-01,January,2022,Ceftriaxone,J01D,387,33,0,Low,2.65,SUP007,30,10
2022-Jan-01,January,2022,Cefixime,J01D,446,33,0,High,16.01,SUP008,78,12
2022-Jan-01,January,2022,Atorvastatin,C10A,457,40,0,High,10.82,SUP009,61,10
2022-Jan-01,January,2022,Rosuvastatin,C10A,295,20,0,High,5.3,SUP004,78,13
2022-Jan-01,January,2022,Metformin,A10B,96,43,0,High,6.8,SUP007,88,1
2022-Jan-01,January,2022,Gliclazide,A10B,319,30,0,Low,11.68,SUP001,93,9
2022-Jan-01,January,2022,Sitagliptin,A10B,198,19,0,Low,15.12,SUP009,38,9
2022-Jan-01,January,2022,Ethinylestradiol,G03A,148,29,0,Medium,13.38,SUP005,73,4
2022-Jan-01,January,2022,Levonorgestrel,G03A,440,37,0,Low,10.04,SUP008,100,10
2022-Jan-01,January,2022,Methotrexate,L04A,90,28,0,Medium,19.41,SUP005,56,2
2022-Jan-01,January,2022,Cyclosporine,L04A,127,23,0,High,14.89,SUP007,85,4
2022-Jan-02,January,2022,Diclofenac,M01AB,84,23,0,Low,4.35,SUP003,67,2
